"","Year1","County","Year3Cumul","Year5Cumul","CountyFIPS"
"1",4,"Anderson",12,20,48001
"2",2,"Andrews",7,11,48003
"3",2,"Angelina",13,23,48005
"4",2,"Aransas",8,15,48007
"5",3,"Archer",5,18,48009
"6",4,"Armstrong",7,18,48011
"7",0,"Atascosa",4,15,48013
"8",2,"Austin",11,23,48015
"9",3,"Bailey",10,14,48017
"10",0,"Bandera",3,10,48019
"11",3,"Bastrop",12,27,48021
"12",1,"Baylor",7,16,48023
"13",1,"Bee",5,10,48025
"14",3,"Bell",9,14,48027
"15",0,"Bexar",3,11,48029
"16",3,"Blanco",7,15,48031
"17",2,"Borden",4,12,48033
"18",1,"Bosque",8,17,48035
"19",3,"Bowie",11,22,48037
"20",4,"Brazoria",11,23,48039
"21",3,"Brazos",14,24,48041
"22",3,"Brewster",5,12,48043
"23",1,"Briscoe",4,10,48045
"24",0,"Brooks",8,15,48047
"25",1,"Brown",6,12,48049
"26",2,"Burleson",12,24,48051
"27",2,"Burnet",10,18,48053
"28",2,"Caldwell",10,20,48055
"29",1,"Calhoun",7,14,48057
"30",3,"Callahan",5,15,48059
"31",1,"Cameron",2,4,48061
"32",4,"Camp",7,17,48063
"33",2,"Carson",6,14,48065
"34",5,"Cass",13,21,48067
"35",2,"Castro",9,17,48069
"36",3,"Chambers",10,22,48071
"37",2,"Cherokee",9,18,48073
"38",3,"Childress",6,15,48075
"39",2,"Clay",6,18,48077
"40",0,"Cochran",2,8,48079
"41",2,"Coke",7,13,48081
"42",2,"Coleman",4,13,48083
"43",2,"Collin",8,21,48085
"44",2,"Collingsworth",5,12,48087
"45",1,"Colorado",10,20,48089
"46",0,"Comal",4,12,48091
"47",0,"Comanche",2,11,48093
"48",3,"Concho",8,14,48095
"49",3,"Cooke",8,21,48097
"50",2,"Coryell",8,14,48099
"51",3,"Cottle",7,12,48101
"52",0,"Crane",2,8,48103
"53",1,"Crockett",5,8,48105
"54",3,"Crosby",8,12,48107
"55",0,"Culberson",3,9,48109
"56",0,"Dallam",7,14,48111
"57",1,"Dallas",9,18,48113
"58",2,"Dawson",6,11,48115
"59",1,"Deaf Smith",5,14,48117
"60",5,"Delta",11,16,48119
"61",1,"Denton",8,20,48121
"62",0,"DeWitt",7,13,48123
"63",2,"Dickens",11,17,48125
"64",0,"Dimmit",7,15,48127
"65",0,"Donley",4,14,48129
"66",2,"Duval",10,21,48131
"67",0,"Eastland",3,13,48133
"68",2,"Ector",7,12,48135
"69",0,"Edwards",4,14,48137
"70",0,"El Paso",0,0,48141
"71",1,"Ellis",5,15,48139
"72",0,"Erath",3,12,48143
"73",6,"Falls",10,19,48145
"74",2,"Fannin",8,14,48147
"75",1,"Fayette",10,22,48149
"76",2,"Fisher",6,12,48151
"77",2,"Floyd",5,11,48153
"78",1,"Foard",4,6,48155
"79",3,"Fort Bend",15,24,48157
"80",4,"Franklin",8,14,48159
"81",4,"Freestone",8,18,48161
"82",0,"Frio",3,10,48163
"83",4,"Gaines",7,13,48165
"84",5,"Galveston",11,25,48167
"85",2,"Garza",7,12,48169
"86",2,"Gillespie",8,12,48171
"87",2,"Glasscock",5,10,48173
"88",0,"Goliad",8,14,48175
"89",1,"Gonzales",6,11,48177
"90",1,"Gray",6,14,48179
"91",3,"Grayson",8,21,48181
"92",3,"Gregg",12,21,48183
"93",0,"Grimes",10,22,48185
"94",2,"Guadalupe",8,14,48187
"95",1,"Hale",5,13,48189
"96",1,"Hall",6,12,48191
"97",2,"Hamilton",8,15,48193
"98",3,"Hansford",8,18,48195
"99",3,"Hardeman",8,15,48197
"100",3,"Hardin",12,24,48199
"101",3,"Harris",12,24,48201
"102",6,"Harrison",15,26,48203
