StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
48,Texas,48001950100,"Anderson County, TX - 48001950100",2015,0%,
48,Texas,48001950401,"Anderson County, TX - 48001950401",2015,8%,
48,Texas,48001950402,"Anderson County, TX - 48001950402",2015,0%,
48,Texas,48001950500,"Anderson County, TX - 48001950500",2015,53%,
48,Texas,48001950600,"Anderson County, TX - 48001950600",2015,43%,
48,Texas,48001950700,"Anderson County, TX - 48001950700",2015,34%,
48,Texas,48001950800,"Anderson County, TX - 48001950800",2015,11%,
48,Texas,48001950901,"Anderson County, TX - 48001950901",2015,10%,
48,Texas,48001950902,"Anderson County, TX - 48001950902",2015,4%,
48,Texas,48001951000,"Anderson County, TX - 48001951000",2015,1%,
48,Texas,48001951100,"Anderson County, TX - 48001951100",2015,12%,
48,Texas,48003950100,"Andrews County, TX - 48003950100",2015,1%,
48,Texas,48003950200,"Andrews County, TX - 48003950200",2015,74%,
48,Texas,48003950300,"Andrews County, TX - 48003950300",2015,99%,
48,Texas,48003950400,"Andrews County, TX - 48003950400",2015,0%,
48,Texas,48005000101,"Angelina County, TX - 48005000101",2015,5%,
48,Texas,48005000102,"Angelina County, TX - 48005000102",2015,0%,
48,Texas,48005000200,"Angelina County, TX - 48005000200",2015,9%,
48,Texas,48005000301,"Angelina County, TX - 48005000301",2015,1%,
48,Texas,48005000302,"Angelina County, TX - 48005000302",2015,0%,
48,Texas,48005000400,"Angelina County, TX - 48005000400",2015,39%,
48,Texas,48005000500,"Angelina County, TX - 48005000500",2015,30%,
48,Texas,48005000600,"Angelina County, TX - 48005000600",2015,24%,
48,Texas,48005000700,"Angelina County, TX - 48005000700",2015,47%,
48,Texas,48005000800,"Angelina County, TX - 48005000800",2015,12%,
48,Texas,48005000901,"Angelina County, TX - 48005000901",2015,24%,
48,Texas,48005000902,"Angelina County, TX - 48005000902",2015,10%,
48,Texas,48005001001,"Angelina County, TX - 48005001001",2015,10%,
48,Texas,48005001002,"Angelina County, TX - 48005001002",2015,0%,
48,Texas,48005001100,"Angelina County, TX - 48005001100",2015,22%,
48,Texas,48005001200,"Angelina County, TX - 48005001200",2015,74%,
48,Texas,48005001300,"Angelina County, TX - 48005001300",2015,25%,
48,Texas,48007950100,"Aransas County, TX - 48007950100",2015,47%,
48,Texas,48007950200,"Aransas County, TX - 48007950200",2015,66%,
48,Texas,48007950300,"Aransas County, TX - 48007950300",2015,31%,
48,Texas,48007950400,"Aransas County, TX - 48007950400",2015,0%,
48,Texas,48007950500,"Aransas County, TX - 48007950500",2015,1%,
48,Texas,48007990000,"Aransas County, TX - 48007990000",2015,0%,
48,Texas,48009020100,"Archer County, TX - 48009020100",2015,0%,
